Trading_date,Trading_period,Node,Price
2016-01-04,3,MTR0331,39.93
2016-01-04,4,MTR0331,34.93
2016-01-04,5,MTR0331,15.15
2016-01-04,6,MTR0331,15.14
2016-01-04,7,MTR0331,14.83
2016-01-04,8,MTR0331,14.82
2016-01-04,9,MTR0331,15.14
2016-01-04,10,MTR0331,35.45
2016-01-04,11,MTR0331,35.65
2016-01-04,12,MTR0331,36.06
2016-01-04,13,MTR0331,0.53
2016-01-04,14,MTR0331,0.04
2016-01-04,15,MTR0331,0.5
2016-01-04,16,MTR0331,0.51
2016-01-04,17,MTR0331,0.5
2016-01-04,18,MTR0331,10.05
2016-01-04,19,MTR0331,21.28
2016-01-04,20,MTR0331,36.91
2016-01-04,21,MTR0331,45.26
2016-01-04,22,MTR0331,50.28
2016-01-04,23,MTR0331,69.36
2016-01-04,24,MTR0331,75.75
2016-01-04,25,MTR0331,68.1
2016-01-04,26,MTR0331,60.37
2016-01-04,27,MTR0331,50.28
2016-01-04,28,MTR0331,44.59
2016-01-04,29,MTR0331,45.75
2016-01-04,30,MTR0331,44.18
2016-01-04,31,MTR0331,36.49
2016-01-04,32,MTR0331,36.25
2016-01-04,33,MTR0331,55.07
2016-01-04,34,MTR0331,46.66
2016-01-04,35,MTR0331,46.14
2016-01-04,36,MTR0331,54.23
2016-01-04,37,MTR0331,47.46
2016-01-04,38,MTR0331,53.15
2016-01-04,39,MTR0331,49.71
2016-01-04,40,MTR0331,52.52
2016-01-04,41,MTR0331,55.23
2016-01-04,42,MTR0331,60.44
2016-01-04,43,MTR0331,65.38
2016-01-04,44,MTR0331,66.83
2016-01-04,45,MTR0331,63.93
2016-01-04,46,MTR0331,64.72
2016-01-04,47,MTR0331,63.23
2016-01-04,48,MTR0331,62.39
2016-01-05,1,MTR0331,47.36
2016-01-05,2,MTR0331,35.83
2016-01-05,3,MTR0331,35.51
2016-01-05,4,MTR0331,20.54
2016-01-05,5,MTR0331,11.07
2016-01-05,6,MTR0331,11.07
2016-01-05,7,MTR0331,11.07
2016-01-05,8,MTR0331,10.9
2016-01-05,9,MTR0331,11.08
2016-01-05,10,MTR0331,11.05
2016-01-05,11,MTR0331,59.11
2016-01-05,12,MTR0331,63.67
2016-01-05,13,MTR0331,76.09
2016-01-05,14,MTR0331,76.38
2016-01-05,15,MTR0331,76.32
2016-01-05,16,MTR0331,76.25
2016-01-05,17,MTR0331,79.14
2016-01-05,18,MTR0331,79.76
2016-01-05,19,MTR0331,78.59
2016-01-05,20,MTR0331,78.31
2016-01-05,21,MTR0331,76.76
2016-01-05,22,MTR0331,76.45
